PC0,PC0
PC1,PC1
PC2,PC2
PC3,PC3
PA0,PA0
PA1,PA1
PA2,PA2
PA3,PA3
PA4,PA4
PA5,PA5
PA6,PA6
PA7,PA7
PC4,PC4
PC5,PC5
PB0,PB0
PB1,PB1
PB2,PB2
PE7,PE7
PE8,PE8
PE9,PE9
PE10,PE10
PE11,PE11
PE12,PE12
PE13,PE13
PE14,PE14
PE15,PE15
PB10,PB10
PB11,PB11
PB12,PB12
PB13,PB13
PB14,PB14
PB15,PB15
PD8,PD8
PD9,PD9
PD10,PD10
PD11,PD11
PD12,PD12
PD13,PD13
PD14,PD14
PD15,PD15
PC6,PC6
PC7,PC7
PC8,PC8
PA13,PA13
PA14,PA14
PA15,PA15
PC12,PC12
CAN1_RX,PD0
CAN1_TX,PD1
PD2,PD2
PD3,PD3
PD4,PD4
PD5,PD5
PD6,PD6
PD7,PD7
PB4,PB4
CAN2_RX,PB5
CAN2_TX,PB6
PE0,PE0
PE1,PE1
PE2,PE2
PE3,PE3
PE4,PE4
PE5,PE5
PE6,PE6
PC13,PC13
PC14,PC14
PC15,PC15
PH0,PH0
PH1,PH1
UART1_TX,PA9
UART1_RX,PB7
UART3_TX,PC10
UART3_RX,PC11
UART6_TX,PG14
UART6_RX,PG9
LED_BLUE,PH10
LED_GREEN,PH11
LED_RED,PH12
I2C1_SCL,PB8
I2C1_SDA,PB9
I2C2_SCL,PF0
I2C2_SDA,PF1
I2C3_SCL,PA8
I2C3_SDA,PC9
SW,PA0
USB_DM,PA11
USB_DP,PA12
USB_OTG_ID,PA10